record_id,screen_ft,exclusion_reason,note
pubmed_00039,include,,"full text not accessible, but the abstract prints a 3.2 +/- 0.9% decline in quadriceps CSA by CT after 7 days of strict bed rest in 10 men - one extractable row, data_source text, confidence low"
pubmed_00800,exclude,no_full_text,"abstract prints whole-body lean mass only (-3.8% hypoxic bed rest, -4.3% normoxic bed rest, 10 days, n=11); the regional lower-limb values that would qualify need the full text. Access failure, not absence - recoverable by interlibrary loan if the dataset ends up thin"
scopus_01685,exclude,no_full_text,"ESA Special Publication conference paper; abstract reports the direction of muscle thickness change during 35-day bed rest but no values. Nothing extractable without the full text"
wos_00657,exclude,no_full_text,"meeting abstract in a Physiology supplement; no abstract text and no full paper located. Treat as never having existed as a full report"
scopus_00954,exclude,no_muscle_outcome,"60-day bed rest in women with a high-protein diet, but the only body-composition outcome is whole-body lean mass by DXA; the leg-specific numbers in its tables belong to other people's studies. Same rule that excluded Debevec"
scopus_00787,exclude,no_muscle_outcome,"90-day HDBR with running and resistance arms, but muscle outcomes are thigh and calf circumference plus whole-body lean mass. The paper estimates volume from circumference squared, which is a derivation and not a measurement - anthropometry is excluded by PLAN.md section 2"
pubmed_00421,include,,extracted - quadriceps CSA at four thigh sites in both legs
pubmed_00344,include,,extracted - quadriceps and vastus lateralis CSA at four thigh sites in both legs
pubmed_00193,include,,extracted - knee extensor and plantar flexor maximum CSA in three crossover conditions
pubmed_00352,include,,extracted - DXA leg lean mass at recovery day 7
pubmed_00155,include,,extracted - the same thighs by DXA CT and MRI
pubmed_00026,include,,extracted - 17 individually segmented muscles in eight women
scopus_00673,include,,extracted - three gluteal muscles in three artificial-gravity arms
scopus_01130,include,,extracted - 24 muscles at two bed-rest and four recovery timepoints
scopus_00351,exclude,no_baseline_or_followup,"St-Martin, McGill 14-day cohort. Reports leg lean mass as an absolute change (-0.418 kg) with no baseline value, so no percent change can be computed. The same cohort is already represented properly by hajjboutros2023"
pubmed_00238,include,,extracted - thigh fat-free muscle volume in three BRACE arms
scopus_00312,include,,extracted - lower-limb lean mass medians in recovery
pubmed_00326,include,,extracted - leg lean mass in the control and blood-flow-restricted legs
pubmed_00389,include,,extracted - muscle thickness in four muscles
scopus_00324,include,,extracted - calf muscle CSA after spaceflight and after bed rest
pubmed_00866,exclude,duration_too_short,"Shur 2024: three days of bed rest, below the five-day minimum in PLAN.md section 2. It does report leg muscle volume change per leg, so if the duration floor is ever revisited this is the first paper to revisit"
scopus_01419,maybe,,"Hypoxia and inactivity: baseline thigh and calf CSA by pQCT are in Table 1 but the changes are only in Figure 2. Extractable by digitising the figure, not from the text"
pubmed_00189,include,,extracted - leg lean mass, mid-thigh lean mass and vastus lateralis thickness in young and old
scopus_00458,include,,extracted - vastus intermedius thickness in three BRACE arms
pubmed_00360,maybe,,"Dulac 2024: quadriceps muscle volume by MRI at baseline, HDBR day 13 and recovery day 6, but every value is in Figure 2D. Needs figure digitisation or a request to the corresponding author - the same conclusion reached in P0"
pubmed_00268,exclude,no_muscle_outcome,"Plasma proteome study; the only size outcome is median fibre CSA from biopsies, which is histology rather than a muscle-level measurement"
scopus_00694,exclude,no_baseline_or_followup,"Methodological paper pooling eight bed rest campaigns to partition measurement uncertainty from true individual response. Reports variance components in percent-squared, not changes, so no row can be built. Keep the citation: its measurement uncertainty for pQCT muscle CSA (0.73-2.95 %^2) belongs in the report's uncertainty discussion"
scopus_00973,exclude,no_muscle_outcome,"Fetuin-A biomarker study on the DLR RSL jump cohort already represented by kramer2017. Body composition is whole-body lean mass only, with no lower-limb breakdown"
pubmed_00249,maybe,,"Plantar flexor CSA by pQCT exists but only in Figure 1a; the tables are lifted weights and cardiopulmonary variables. Needs digitising"
scopus_00738,maybe,,"NASA bed rest rehabilitation study: all muscle size changes are in Figures 1 and 2, no tables at all. Needs digitising"
pubmed_00425,maybe,,"Twin study with LBNP treadmill: leg lean mass is in Figure 3; the tables carry strength and inference only. Needs digitising"
pubmed_00243,maybe,,"Multifidus CSA time course is in figures; the only percentages in the text are variance explained by the regression model"
pubmed_00152,include,,extracted - quadriceps and triceps surae volumes in women and men
pubmed_00293,include,,extracted - quadriceps triceps surae and soleus volumes in three SPRINT arms
pubmed_00194,include,,extracted - calf and thigh lean mass medians
pubmed_00662,include,,extracted - one quadriceps CSA row from the discussion text
scopus_01121,maybe,,"84-day bed rest with individualised exercise: muscle volume change is described in the text but the values are in a figure; the tables carry strength only"
pubmed_00880,include,,extracted - four hamstring muscles plus the group pooled
pubmed_00343,include,,extracted - lumbar multifidus and erector spinae in three AGBRESA arms
pubmed_00900,maybe,,"5-day dry immersion, NCT03915457. The only lower-limb outcome is quadriceps MRI CSA reported as a change in pixel count with the baseline in a figure; DXA results are whole-body. Would be the dataset's first dry immersion rows if digitised"
pubmed_00348,include,,extracted - calf and thigh lean mass in the normoxic and hypoxic bed rest arms
